Seg. Type,Booking No.,Supplier Reference - Passenger Name - Supplier/Hotel Name,Segment Date,Balance Due,Supplier Reference No
HTL,140221,HB918204 - HB918204 - LINTON/PAUL MR - Staywell Harbour Inn,04/09/2026,612.40,HB918204
TRN,140255,"ER-41882 - ER-41882 - LINTON/PAUL MR, LINTON/ROSE MRS - EuroRail",04/09/2026,288.52,ER-41882
TKT,140310,QN9V4B - QN9V4B - OKAFOR/CHIDI MR - Pacific Blue Air,04/09/2026,455.00,QN9V4B
TKT,140344,QN7T2K - QN7T2K - HALE/MARGUERITE MS - Pacific Blue Air,03/09/2026,1200.00,QN7T2K
TUR,140358,GH-5512907 - GH-5512907 - HALE/MARGUERITE MS - Guide Hub,03/09/2026,93.97,GH-5512907
HTL,140402,MK918330 - MK918330 - DRUMMOND/ALICE MRS - Staywell Lakeside,04/09/2026,612.50,MK918330
HTL,140402,MK918331 - MK918331 - DRUMMOND/ALICE MRS - Staywell Riverbank,04/09/2026,519.60,MK918331
HTL,140402,MK918332 - MK918332 - DRUMMOND/ALICE MRS - Staywell Riverbank,04/09/2026,316.20,MK918332
TKT,140466,"QN3L8P - QN3L8P - MBEKI/THANDI MS, MBEKI/SIPHO MR - Pacific Blue Air",04/09/2026,210.00,QN3L8P
HTL,140501,RF901118 - RF901118 - VOSS/ANNIKA MS - Staywell Parkside,04/09/2026,-338.90,RF901118
HTL,140644,9114882 - 9114882 - CRAWFORD/NEIL MR - Harbour Lodge,04/09/2026,845.00,9114882
TUR,140701,SS-77412 - SS-77412 - PENHALIGON/JUNE MRS - Southern Star Cruises,03/09/2026,640.00,SS-77412
HTL,140733,LP918447 - LP918447 - ARMITAGE/DEAN MR - Staywell Foreshore,04/09/2026,136.30,LP918447
PKG,140777,EC-220914 - EC-220914 - NAKAMURA/HARUKI MR - Escape Collection,04/09/2026,725.15,EC-220914
HTL,140812,QUINTERO/ISABEL MS - Staywell Central,04/09/2026,410.00,
HTL,140966,GV-771204 - GV-771204 - OYELARAN/FEMI MR - Grandview Resort,04/09/2026,2000.00,GV-771204
HTL,140901,JW918610 - JW918610 - TREMBLAY/YVES MR - Staywell Garden,04/09/2026,455.75,JW918610
